default|BSC|BSC
default|Result_Time|Result_Time
default|Obj_Name|Obj_Name
default|LAC|LAC
default|CI|CI
default|TARGET_CI|TARGET_CI
1275070417|1277069422|BS_USR_NUM_BY_IMSI_PAGRSP
1275070417|1277069423|BS_USR_NUM_BY_IMSI_NOT_EMRG
1275070617|1277269417|CB_BSC_TX_MSG_CMD
1275070617|1277269418|CB_BSC_DEL_MSG_CMD
1275070617|1277269419|CB_BSC_QURY_CBCH_CMD
1275070617|1277269420|CB_BSC_QURY_MSG_CMD
1275070617|1277269421|CB_BSC_SET_DRX_CMD
1275070617|1277269422|CB_BSC_RST_CMD
1275070617|1277269423|CB_BSC_ACK_TX_MSG
1275070617|1277269424|CB_BSC_REJ_TX_MSG
1275070617|1277269425|CB_BSC_ACK_DEL_MSG
1275070617|1277269426|CB_BSC_REJ_DEL_MSG
1275070617|1277269427|CB_BSC_ACK_CBCH_QURY
1275070617|1277269428|CB_BSC_REJ_CBCH_QURY
1275070617|1277269429|CB_BSC_ACK_MSG_QURY
1275070617|1277269430|CB_BSC_REJ_MSG_QURY
1275070617|1277269431|CB_BSC_ACK_SET_DRX
1275070617|1277269432|CB_BSC_REJ_SET_DRX
1275070617|1277269433|CB_BSC_RES_SUCC
1275070617|1277269434|CB_BSC_RST_FAIL
1275070617|1277269435|CB_BSC_RPT_FAIL
1275070617|1277269436|CB_BSC_CBCH_OVERLOAD
1275070617|1277269437|CB_BSC_CBCH_UNDERLOAD
1275070617|1277269438|CB_BSC_RX_NEW_SMS
1275070617|1277269439|CB_BSC_ACK_NEW_SMS
1275070617|1277269440|CB_BSC_REJ_NEW_SMS
1275070617|1277269441|CB_BSC_RX_REPLACE
1275070617|1277269442|CB_BSC_ACK_REPLACE
1275070617|1277269443|CB_BSC_REJ_REPLACE
1275070617|1277269444|CB_BSC_MSG_LIB_CAPACITY_NUM
1275070617|1277269445|CB_BSC_MSG_LIB_CAPACITY
1275070617|1277269446|CB_BSC_MSG_LIB_CAPACITY_AVG
1275070617|1277269447|CB_BSC_CBC_FAIL
1275070617|1277269448|CB_BSC_TX_CB_MSG
1275070617|1277269449|CB_BSC_CELL_NO
1275070617|1277269450|CB_BSC_REC_SMS_NO
1275070617|1277269451|CB_BSC_COVER_RATE
1275070618|1277270417|CB_CBCH_PERC_LOAD
1275070618|1277270418|CB_CBCH_PERC_LOAD_MAX
1275070618|1277270419|CB_CBCH_PERC_LOAD_AVG
1275071217|1277869417|BSC_MSC_PAGING_REQ_CS
1275071217|1277869418|BSC_SGSN_PAGING_REQ_CS
1275071217|1277869419|BSC_SGSN_PAGING_REQ_PS
1275071218|1277870417|CELL_PAGES_CS
1275071218|1277870418|CELL_PAGES_PS
1275071218|1277870419|CELL_MAX_UNSOLVE_LEV
1275071218|1277870420|CELL_AVG_UNSOLVE_LEV
1275071218|1277870421|CELL_UNSOLVES
1275071218|1277870422|CELL_MIN_SOLVE_LEV
1275071218|1277870423|CELL_SOLVES
1275071218|1277870424|CELL_CIRCUIT_PCH_DEL
1275071218|1277870425|CELL_CIRCUIT_PCH_EXP
1275071218|1277870426|CELL_PACUIT_PCH_DEL
1275071218|1277870427|CELL_PACUIT_PCH_EXP
1275071218|1277870437|CELL_RACH_FAIL_TOO_HIGH_TA
1275071219|1277871417|LAPDLNK_DISC_SMS_PAGS
1275071219|1277871418|LAPDLNK_DISC_CS_PAGS
1275071219|1277871419|LAPDLNK_DISC_PS_PAGS
1275071417|1278069417|BSC_CALL_ACCESS_DUR_VALUE
1275071417|1278069418|BSC_CALL_ESTB_DUR_VALUE
1275071417|1278069419|BSC_CALL_ACCESS_DUR
1275071417|1278069420|BSC_CALL_ESTB_DUR
